,nb_id,longer_beginning,longer_ending,has_author,has_equation,jupyter_prop,output_cell_prop,markdown_prop,num_contrib,image_prop,is_education,has_links,has_comments,md_frequency,has_title,num_commits,md_format,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test,num_headers,cluster
0,594,True,False,False,False,0.5075884816777709,1.0,0.04444444444444445,3.0,0.0,True,True,False,0.06818181818181818,True,1.0,True,0.0,1.0,1.8095238095238089,False,False,0.0,False,7.0,1
1,1222,True,False,False,False,1.0,0.0,0.16129032258064516,1.0,0.0,True,True,True,0.3333333333333333,False,2.0,True,0.9615384615384616,1.0,0.0,False,False,0.0,False,5.0,1
2,1447,True,False,False,False,0.9708511003725512,0.011363636363636364,0.375886524822695,1.0,0.0,True,True,True,0.6214285714285714,True,1.0,True,0.9886363636363636,1.0,0.0,False,True,15.0,False,30.0,3
3,2705,True,False,False,False,1.0,0.5,0.4615384615384616,1.0,0.0,True,True,True,0.64,True,1.0,False,0.0,0.9230769230769232,1.6153846153846154,False,False,6.0,False,7.0,1
4,2861,True,False,False,True,1.0,0.21428571428571427,0.4615384615384616,1.0,0.0,False,False,True,0.52,False,1.0,False,0.0,1.0,6.333333333333332,False,False,0.0,False,1.0,1
5,4475,True,False,False,True,1.0,0.25925925925925924,0.4615384615384616,1.0,0.0,True,True,True,0.215686274509804,True,1.0,True,0.0,0.9090909090909092,2.8181818181818183,False,False,1.0,False,9.0,1
6,4842,True,False,False,True,1.0,0.25925925925925924,0.4615384615384616,1.0,0.0,True,True,True,0.215686274509804,True,1.0,True,0.0,0.9090909090909092,2.8181818181818183,False,False,1.0,False,9.0,1
7,6345,False,False,False,False,0.9254409949708522,0.7857142857142857,0.125,1.0,0.0,False,False,True,0.06666666666666668,True,1.0,True,0.0,1.0,1.0,False,False,0.0,False,2.0,1
8,6346,False,False,False,False,0.9254409949708522,0.7857142857142857,0.125,1.0,0.0,False,False,True,0.06666666666666668,True,1.0,True,0.0,1.0,1.0,False,False,0.0,False,2.0,1
9,6664,True,False,False,False,1.0,0.09090909090909093,0.5217391304347826,1.0,0.0,True,False,True,1.0,True,1.0,False,0.0,1.0,1.1,False,False,9.0,False,2.0,1
10,6993,True,False,False,False,1.0,0.625,0.5,0.0,0.2,False,False,True,1.0,True,1.0,False,0.0,0.8571428571428571,8.428571428571429,False,False,15.0,False,2.0,1
11,8145,True,False,False,False,0.985339823498082,0.8,0.4117647058823529,1.0,0.4375,True,True,True,0.7575757575757576,True,1.0,True,0.0,1.0,1.0,False,True,1.0,False,3.0,1
12,8472,True,False,False,False,0.9054510068055251,0.5757575757575758,0.5540540540540541,1.0,0.3157894736842105,True,True,True,0.7534246575342466,True,1.0,True,0.0,0.8666666666666667,23.7,False,False,11.0,False,17.0,2
13,8529,False,False,False,False,0.9784306235791392,0.6666666666666666,0.14285714285714285,8.0,0.375,False,False,False,0.07692307692307693,False,1.0,True,0.0,0.9,13.6,False,False,0.0,False,1.0,1
14,9725,True,False,False,True,0.7264273142045768,0.8888888888888888,0.4090909090909091,1.0,0.125,True,False,True,0.3333333333333333,False,5.0,False,0.0,0.42857142857142855,29.57142857142857,False,False,14.0,False,0.0,2
15,11545,False,False,False,False,0.9254409949708522,0.6190476190476191,0.08695652173913042,1.0,0.0,False,False,False,0.045454545454545456,True,1.0,True,0.0,1.0,1.0,False,False,0.0,False,2.0,1
16,11546,False,False,False,False,0.9254409949708522,0.6190476190476191,0.08695652173913042,1.0,0.0,False,False,False,0.045454545454545456,True,1.0,True,0.0,1.0,1.0,False,False,0.0,False,2.0,1
17,11557,True,False,False,False,0.9347758040535252,0.0,0.4,6.0,0.0,True,True,True,0.5,False,9.0,True,1.0,1.0,0.0,False,True,1.0,False,9.0,1
18,11976,True,False,False,True,0.5131279536401258,0.41935483870967744,0.6025641025641025,1.0,0.2307692307692308,False,False,True,0.2727272727272727,True,2.0,False,0.06451612903225806,0.8888888888888888,51.925925925925924,False,False,4.0,False,15.0,2
19,12290,False,False,False,False,0.946073998191262,0.6923076923076923,0.2777777777777778,1.0,0.6666666666666666,False,False,False,0.5294117647058824,True,2.0,False,0.0,1.0,1.4166666666666667,False,False,3.0,False,5.0,1
20,13740,False,False,False,False,0.6100172944131892,0.07142857142857142,0.2631578947368421,1.0,0.0,False,False,True,0.5555555555555556,False,17.0,False,0.7857142857142857,1.0,0.0,False,False,4.0,False,5.0,1
21,14534,False,False,False,False,1.0,0.5,0.07692307692307693,4.0,0.4166666666666667,False,False,True,0.16,False,1.0,False,0.0,1.0,1.2727272727272727,True,False,0.0,False,2.0,1
22,14535,False,False,False,False,1.0,0.5,0.07692307692307693,4.0,0.4166666666666667,False,False,True,0.16,False,1.0,False,0.0,1.0,1.2727272727272727,True,False,0.0,False,2.0,1
23,15744,False,False,False,False,0.018101156629051283,0.5,0.0625,1.0,0.0,False,False,True,0.06666666666666668,False,1.0,True,0.0,0.8181818181818182,2.727272727272727,False,True,1.0,False,0.0,1
24,16041,False,True,False,False,0.5075884816777709,0.0,0.84375,3.0,0.0,True,True,False,0.2258064516129032,True,1.0,True,0.0,1.0,0.0,False,False,0.0,False,11.0,1
25,16084,True,False,False,True,0.7264273142045768,0.8888888888888888,0.4090909090909091,1.0,0.125,True,False,True,0.3333333333333333,False,5.0,False,0.0,0.42857142857142855,29.57142857142857,False,False,14.0,False,0.0,2
26,16594,False,False,False,True,1.0,0.56,0.609375,1.0,0.21428571428571427,True,True,True,0.5238095238095238,True,1.0,True,0.0,0.9565217391304348,3.8260869565217392,False,False,3.0,False,14.0,1
27,18429,True,False,False,False,1.0,0.625,0.4074074074074074,0.0,0.2,False,False,True,0.8076923076923077,True,1.0,False,0.0,0.9333333333333332,1.6,False,False,6.0,False,1.0,1
28,19395,False,False,False,False,0.5123286346557668,0.0,0.36,3.0,0.0,False,False,True,0.625,True,12.0,False,0.9375,1.0,0.0,False,False,10.0,False,9.0,1
29,19414,False,True,False,True,0.990928926738888,0.5384615384615384,0.3333333333333333,2.0,0.0,True,False,True,0.4827586206896552,False,1.0,True,0.07692307692307693,1.0,1.0,False,False,1.0,False,0.0,1
